cord_uid_a,cord_uid_b,similarity,title_a,title_b
lvi4n41u,mherdb4v,-0.08268998,Pflegen kann jede*r!,Lessons for and from COVID‐19 for investors and their advisors
4wcf4z93,e69c9wyw,-0.07283184,Acknowledgement to Referees: Acknowledgement to Referees,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
z2ulnfop,4wcf4z93,-0.06983905,Fakten auf einen Blick,Acknowledgement to Referees: Acknowledgement to Referees
fe82q2o1,4wcf4z93,-0.06802239,Pflegedienstleiter in einer besonderen Zeit,Acknowledgement to Referees: Acknowledgement to Referees
fxrsgieg,ewl63b2i,-0.06620924,COVID-19: Was Rheumapatienten jetzt wissen sollten,Manufacturing Workers and Employers
e69c9wyw,ewl63b2i,-0.06279646,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten,Manufacturing Workers and Employers
yhzdgsc6,s9qlcamb,-0.058010254,On Finding a Better Way.,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
s9qlcamb,f0mdm3ij,-0.057556897,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Making Decisions in a COVID-19 World.
s9qlcamb,wonfyk3t,-0.057556897,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Making Decisions in a COVID-19 World
fe82q2o1,ewl63b2i,-0.05643481,Pflegedienstleiter in einer besonderen Zeit,Manufacturing Workers and Employers
d7rlj43k,4wcf4z93,-0.054971013,Einladung zu einer Hybrid-Veranstaltung 2022,Acknowledgement to Referees: Acknowledgement to Referees
bjo6hun1,fxrsgieg,-0.053601965,Scientists' lanes and headwinds.,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,ewl63b2i,-0.05075615,Pflegen kann jede*r!,Manufacturing Workers and Employers
lvi4n41u,4wcf4z93,-0.048985597,Pflegen kann jede*r!,Acknowledgement to Referees: Acknowledgement to Referees
4wcf4z93,atva6mfp,-0.04749389,Acknowledgement to Referees: Acknowledgement to Referees,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
6cm89kn4,lvi4n41u,-0.047134534,Recent Articles in AATS Journals.,Pflegen kann jede*r!
l3tavujs,lvi4n41u,-0.047039494,"Demystifying COVID-19 publications: institutions, journals, concepts, and topics",Pflegen kann jede*r!
e15swxek,s9qlcamb,-0.046999414,Meeting the Challenges of COVID-19 at the Close of 2020,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
s6unh19n,fxrsgieg,-0.044947952,Clinical and laboratory findings of COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,c41feqvg,-0.043544337,Pflegen kann jede*r!,"Cities, COVID-19 and Sensibilities: A Kaleidoscope of Experiences"
4wcf4z93,avobcnzk,-0.043383975,Acknowledgement to Referees: Acknowledgement to Referees,Neue Impfempfehlungen - auch zu COVID-19
lvi4n41u,309wqizi,-0.041864168,Pflegen kann jede*r!,Conclusions and Policy Recommendations
4wcf4z93,79hf1x4j,-0.04155186,Acknowledgement to Referees: Acknowledgement to Referees,Sind durch COVID-19 (mehr) Patienten mit Hörverlust zu erwarten?
p81l6zvz,4wcf4z93,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees: Acknowledgement to Referees
lvi4n41u,s6unh19n,-0.041051675,Pflegen kann jede*r!,Clinical and laboratory findings of COVID-19
fe82q2o1,mherdb4v,-0.04072474,Pflegedienstleiter in einer besonderen Zeit,Lessons for and from COVID‐19 for investors and their advisors
vur1c2nf,fxrsgieg,-0.039850324,Communicating With Patients and Families During COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,821dzl7j,-0.03929753,Pflegen kann jede*r!,Evaluation Findings and Policy Suggestions
yfmyegpf,s9qlcamb,-0.038651247,16-1 Difficulty of Decision-making for COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
bhimxnxq,fxrsgieg,-0.036725502,Serological characteristics of COVID-19 patients.,COVID-19: Was Rheumapatienten jetzt wissen sollten
zqoy3jfm,lvi4n41u,-0.036381356,International and national notes research notes,Pflegen kann jede*r!
ytuhhiwf,lvi4n41u,-0.036086146,Perspectives: Research for all.,Pflegen kann jede*r!
evknjdo8,4wcf4z93,-0.03493903,Eine neue Ära beginnt!,Acknowledgement to Referees: Acknowledgement to Referees
it7friew,mherdb4v,-0.0327101,Vernachlässigen Sie Ihre Hauterkrankung nicht!,Lessons for and from COVID‐19 for investors and their advisors
lvi4n41u,l6754c29,-0.03258279,Pflegen kann jede*r!,Features of α‐HBDH in COVID‐19 patients: A cohort study
lvi4n41u,az2pgmkj,-0.03258279,Pflegen kann jede*r!,Features of α-HBDH in COVID-19 patients: A cohort study
t51x3dof,lvi4n41u,-0.03238647,Psychosemantic research of students’ representations about distance education during COVID-19,Pflegen kann jede*r!
8p7vktc7,ewl63b2i,-0.031696115,Keine Wirtschaftlichkeitsprüfungen für 2019: In Rheinland-Pfalz wurde das Ausgabenvolumen eingehalten,Manufacturing Workers and Employers
ix8plvil,4wcf4z93,-0.03159323,Kritische Stellungnahme zu einigen Empfehlungen der neuen deutschen S3-Sepsisleitlinie,Acknowledgement to Referees: Acknowledgement to Referees
